Ano,Mês,Unidade Federativa,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTAÇÃO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,COFINS - FINANCEIRAS,COFINS - DEMAIS,PIS/PASEP - FINANCEIRAS,PIS/PASEP - DEMAIS,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS,CPSSS,OUTRAS RECEITAS ADMINISTRADAS
2021,Julho,MA,553594.00,6098.00,0.00,116134.00,11030.00,233021.00,1376225.00,41439397.00,82095.00,129418523.00,43708270.00,1799007.00,389713.00,2993465.00,624240.00,185190.00,71166.00,343359922.00,11524.00,89895586.00,75793.00,73572063.00,9824268.00,31111257.00,1087021.00
2021,Julho,MG,127272238.00,10258.00,369504428.00,13706237.00,50728.00,68998710.00,229423929.00,488696556.00,21984228.00,2689587969.00,556021553.00,89244812.00,129068191.00,58872903.00,117422543.00,1836833.00,38976488.00,1230275858.00,6343764.00,388069283.00,13891936.00,1347449880.00,198.00,187956148.00,17622575.00
2021,Julho,MS,143434.00,-48.00,0.00,125716.00,0.00,242815.00,8280072.00,81320593.00,36035.00,240091127.00,54176077.00,8045861.00,2180679.00,4057469.00,10999983.00,3098520.00,9140.00,130481933.00,1581.00,52372196.00,56096.00,115927763.00,0.00,26527761.00,5648620.00
2021,Julho,MT,1877124.00,16.00,0.00,1080028.00,13462.00,2279480.00,6064655.00,87080636.00,1287905.00,371276686.00,93917348.00,8705957.00,8003112.00,6090251.00,35989825.00,4755303.00,401320.00,217460246.00,66599.00,82698203.00,1186735.00,242172056.00,197229.00,28402182.00,5882556.00
2021,Julho,PA,6616799.00,773.00,0.00,2566207.00,0.00,2776214.00,21789177.00,60334913.00,11912104.00,274895235.00,85164710.00,3687949.00,3639830.00,5563282.00,53335945.00,653025.00,13268747.00,164904822.00,2161469.00,63597175.00,8049892.00,136875196.00,1501466.00,49991595.00,3778155.00
2021,Julho,PB,3841795.00,-306.00,0.00,2341470.00,33401.00,2751189.00,4300241.00,38815668.00,99422.00,93288010.00,60488611.00,2334739.00,559852.00,2561519.00,3086953.00,97331.00,20856.00,81561578.00,3903.00,31698221.00,97540.00,55880679.00,0.00,57092295.00,3456698.00
2021,Julho,PE,110760290.00,822.00,0.00,19083566.00,2084451.00,67298120.00,35902486.00,88784887.00,402578.00,381603286.00,154733691.00,16305419.00,7024752.00,9536984.00,5569481.00,118769.00,1013745.00,613363779.00,166595.00,169804689.00,348381.00,201559465.00,11502492.00,79213509.00,10627996.00
2021,Julho,PI,4609.00,-95.00,0.00,107390.00,17926.00,0.00,3218916.00,26614680.00,10184.00,78332380.00,26932639.00,1465613.00,1161031.00,2291683.00,501473.00,826950.00,29933.00,53828475.00,5115.00,19989947.00,14179.00,48447733.00,0.00,25356749.00,1810793.00
2021,Julho,PR,412149275.00,5353.00,60.00,4086072.00,10826089.00,193341075.00,203290329.00,431755273.00,14323736.00,1367353042.00,362262163.00,81677256.00,48725173.00,30780754.00,94845843.00,2583284.00,18479110.00,1269417363.00,3020965.00,352181750.00,9842736.00,679794934.00,737349.00,85093527.00,46874935.00
2021,Julho,RJ,238887708.00,-1268.00,2037790.00,7725929.00,27027610.00,141062939.00,141057394.00,498253397.00,145762804.00,4346147079.00,1222796302.00,998132268.00,393639359.00,146889450.00,200358078.00,234922.00,150177590.00,4610504344.00,24196833.00,995165674.00,115726619.00,2077393373.00,952392.00,295015283.00,724900563.00
